locality;property_type;property_subtype;price;sale_type;bedroom_count;bathroom_count;net_Habital_surface;kitchen;furnished;open_fire;terrace;terrace_surface;garden;garden_surface;land_surface;land_plot_surface;facade_count;pool;building_state
Wervik;HOUSE;MANSION;890000;FOR_SALE;3;;542;{'surface': 37, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;;3259;0;;1;AS_NEW
Ixelles;APARTMENT;APARTMENT;890000;FOR_SALE;4;;155;;;0;1;;;;;0;2;;AS_NEW
Destelbergen;HOUSE;VILLA;890000;FOR_SALE;5;3;320;{'surface': 24, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;25;1;1587;1587;0;4;0;AS_NEW
Uccle;APARTMENT;TRIPLEX;890000;FOR_SALE;5;4;329;{'surface': 15, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;;75;3;0;GOOD
ERPE MERE;HOUSE;VILLA;890000;FOR_SALE;3;2;484;{'surface': 12, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;;;1;;718;0;4;;
Saint-Gilles;HOUSE;MIXED_USE_BUILDING;890000;FOR_SALE;9;8;313;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;86;0;3;0;TO_RENOVATE
SINT-NIKLAAS;HOUSE;APARTMENT_BLOCK;890000;FOR_SALE;0;;;;0;0;;;1;;763;0;2;;GOOD
Leuven;HOUSE;HOUSE;890000;FOR_SALE;6;3;;;1;0;;;1;;60;0;;0;AS_NEW
Lasne;HOUSE;VILLA;890000;FOR_SALE;3;;185;{'surface': 10, 'type': 'SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;1200;1900;280;4;;AS_NEW
Lasne;HOUSE;VILLA;890000;FOR_SALE;4;4;275;{'surface': 26, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;;;;2200;0;4;;GOOD
Merchtem;HOUSE;HOUSE;890000;FOR_SALE;8;4;699;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;9812;0;4;;GOOD
Zandvliet;HOUSE;HOUSE;890000;FOR_SALE;7;2;355;{'surface': 50, 'type': 'SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;;;1;6308;6308;210;;1;AS_NEW
ERPE MERE;HOUSE;MANOR_HOUSE;890000;FOR_SALE;3;2;484;{'surface': 12, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;;;1;;718;0;4;;
Mortroux;HOUSE;FARMHOUSE;890000;FOR_SALE;9;1;418;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;2420;0;3;;
Feneur;HOUSE;FARMHOUSE;890000;FOR_SALE;11;1;463;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;10;;;8990;0;4;;
SAINT-JOSSE-TEN-NOODE;HOUSE;MIXED_USE_BUILDING;890000;FOR_SALE;3;;;;;0;;;;;0;0;;;
Antwerp;HOUSE;EXCEPTIONAL_PROPERTY;890000;FOR_SALE;4;3;208;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;1;53;138;85;2;0;AS_NEW
Rhode-St-Genèse;HOUSE;HOUSE;890000;FOR_SALE;5;3;328;{'surface': 16, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;49;1;;3160;0;4;;GOOD
Lebbeke;HOUSE;EXCEPTIONAL_PROPERTY;890000;FOR_SALE;3;2;960;{'surface': 71, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;2700;0;4;0;GOOD
Brecht Sint-Job-in-'t-Goor;APARTMENT;PENTHOUSE;890000;FOR_SALE;3;3;267;{'surface': 22, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;55;;;;0;3;;AS_NEW
Kortrijk;APARTMENT;APARTMENT;890000;FOR_SALE;0;;582;;0;0;;;;;;0;3;0;
BIERGHES;HOUSE;HOUSE;890000;FOR_SALE;3;1;170;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;7200;0;;;AS_NEW
Zandvliet;HOUSE;HOUSE;890000;FOR_SALE;6;1;;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;;;;8800;0;4;1;
Oostrozebeke;HOUSE;VILLA;890000;FOR_SALE;4;2;320;{'surface': 16, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;1906;320;4;1;AS_NEW
Namur;HOUSE;EXCEPTIONAL_PROPERTY;890000;FOR_SALE;5;3;410;{'surface': 17, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;135;;;10000;0;4;;AS_NEW
Mechelen;HOUSE;HOUSE;890000;FOR_SALE;4;;;;;0;;;;;1200;0;3;;
SAINT-SAUVEUR;HOUSE;HOUSE;889000;FOR_SALE;5;3;453;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;60;1;;5103;0;4;;
Ronse;HOUSE;HOUSE;889000;FOR_SALE;5;3;453;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;60;1;;5103;0;4;;
Oekene;HOUSE;HOUSE;889000;FOR_SALE;4;2;369;{'surface': 43, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;;;;;1372;0;;0;
Roeselare;HOUSE;VILLA;889000;FOR_SALE;4;2;369;;;0;;;1;;1372;0;;0;
Knokke-Heist;APARTMENT;APARTMENT;885000;FOR_SALE;3;2;121;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;15;;;;0;2;0;AS_NEW
Waterloo;HOUSE;HOUSE;885000;FOR_SALE;6;3;341;{'surface': 19, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;745;0;2;0;GOOD
Holsbeek;HOUSE;VILLA;885000;FOR_SALE;4;;320;{'surface': 36, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;3000;3037;0;;0;AS_NEW
Chaumont-Gistoux;APARTMENT;DUPLEX;885000;FOR_SALE;3;2;305;{'surface': 7, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;19;;;;0;;;
Braine-l'Alleud;HOUSE;VILLA;885000;FOR_SALE;4;3;373;{'surface': 22, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;70;;;1331;0;4;0;AS_NEW
Knokke;APARTMENT;APARTMENT;885000;FOR_SALE;3;1;106;;;0;1;;;;;0;;0;AS_NEW
Wevelgem;HOUSE;EXCEPTIONAL_PROPERTY;885000;FOR_SALE;8;2;;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;40;1;747;938;0;4;0;AS_NEW
Etterbeek;HOUSE;APARTMENT_BLOCK;885000;FOR_SALE;8;7;454;;1;0;;;;;114;0;2;;TO_BE_DONE_UP
Liege;HOUSE;MIXED_USE_BUILDING;885000;FOR_SALE;0;;;;;0;;;;;0;0;2;;GOOD
Bertem;HOUSE;VILLA;885000;FOR_SALE;4;1;334;{'surface': 25, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;550;695;0;4;;AS_NEW
Leuven;HOUSE;VILLA;885000;FOR_SALE;4;1;334;{'surface': 25, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;22;;;695;0;4;;AS_NEW
Putte;HOUSE;VILLA;882000;FOR_SALE;5;1;343;{'surface': 36, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;1426;0;4;;AS_NEW
Herne;HOUSE;EXCEPTIONAL_PROPERTY;881000;FOR_SALE;5;1;;{'surface': 23, 'type': 'SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;1;3232;4170;0;4;0;TO_RENOVATE
Sint-Truiden;APARTMENT;APARTMENT;880200;FOR_SALE;3;1;217;{'surface': 28, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;24;;;;0;;0;
Sint-Truiden;APARTMENT;APARTMENT;880200;FOR_SALE;3;1;217;{'surface': 28, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;24;;;;0;;0;
Etterbeek;APARTMENT;GROUND_FLOOR;880000;FOR_SALE;3;3;191;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;30;1;122;;191;2;0;AS_NEW
Ternat;HOUSE;MIXED_USE_BUILDING;880000;FOR_SALE;4;2;437;{'surface': 20, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;100;1;1560;1900;240;4;0;AS_NEW
Ternat;HOUSE;EXCEPTIONAL_PROPERTY;880000;FOR_SALE;4;2;437;{'surface': 20, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;100;1;1560;1900;240;4;0;AS_NEW
Willebroek;HOUSE;MIXED_USE_BUILDING;880000;FOR_SALE;6;6;;{'surface': None, 'type': 'SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;12;;;262;0;2;;TO_RENOVATE
Etterbeek;HOUSE;APARTMENT_BLOCK;880000;FOR_SALE;8;;340;;1;0;1;20;;;98;0;2;0;GOOD
Rhode-Saint-Genese;HOUSE;HOUSE;880000;FOR_SALE;3;2;300;{'surface': 16, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;50;;;253;0;2;0;AS_NEW
Ixelles;APARTMENT;APARTMENT;880000;FOR_SALE;4;2;236;;;0;1;6;1;;;0;2;;AS_NEW
Sint-kruis;HOUSE;HOUSE;880000;FOR_SALE;5;3;359;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;533;0;2;0;GOOD
Wielsbeke;HOUSE;VILLA;880000;FOR_SALE;5;2;380;{'surface': 32, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;1536;183;4;0;GOOD
BRUSSEL - BRUXELLES;HOUSE;HOUSE;880000;FOR_SALE;3;2;370;{'surface': 20, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;53;;;253;540;2;0;GOOD
Kortrijk;APARTMENT;PENTHOUSE;880000;FOR_SALE;2;1;126;;0;0;1;69;1;;;0;;0;
Ixelles;HOUSE;TOWN_HOUSE;880000;FOR_SALE;4;1;295;{'surface': 25, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;12;1;18;156;0;2;;GOOD
Uccle;HOUSE;VILLA;880000;FOR_SALE;6;2;335;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;80;1;650;1250;0;4;;TO_RENOVATE
Etterbeek;HOUSE;APARTMENT_BLOCK;880000;FOR_SALE;8;;340;;0;0;1;20;;;98;0;2;0;
Bornem;HOUSE;VILLA;879000;FOR_SALE;3;1;265;{'surface': 21, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;2202;265;4;1;
Overijse;HOUSE;VILLA;879000;FOR_SALE;5;4;277;{'surface': 12, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;1450;0;;0;
Bruxelles;HOUSE;APARTMENT_BLOCK;878900;FOR_SALE;7;4;330;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;1;100;188;330;;0;GOOD
Antwerp;APARTMENT;APARTMENT;877000;FOR_SALE;7;3;310;{'surface': None, 'type': 'SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;;0;2;;GOOD
Kraainem;APARTMENT;APARTMENT;875000;FOR_SALE;3;2;119;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;40;1;158;;0;2;0;AS_NEW
Waterloo;HOUSE;VILLA;875000;FOR_SALE;4;3;291;{'surface': 22, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;36;1;400;525;0;3;0;AS_NEW
Etterbeek;APARTMENT;APARTMENT;875000;FOR_SALE;4;1;235;{'surface': 16, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;4;;;;0;3;0;
Laeken;HOUSE;HOUSE;875000;FOR_SALE;6;2;312;{'surface': 30, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;61;1;200;434;50;3;0;GOOD
Jette;HOUSE;HOUSE;875000;FOR_SALE;6;2;312;{'surface': 30, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;61;1;200;434;50;3;0;GOOD
Frasnes-lez-Anvaing;HOUSE;VILLA;875000;FOR_SALE;4;1;345;{'surface': 20, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;40;1;8000;9560;0;4;0;AS_NEW
Hasselt;APARTMENT;APARTMENT;875000;FOR_SALE;3;3;270;{'surface': 69, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;22;1;;;0;;0;AS_NEW
Werchter;HOUSE;MIXED_USE_BUILDING;875000;FOR_SALE;4;2;440;{'surface': 30, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;70;1;;720;0;3;0;GOOD
Genval;APARTMENT;GROUND_FLOOR;875000;FOR_SALE;3;1;211;;0;0;;;;;;0;;0;JUST_RENOVATED
Rixensart Genval;APARTMENT;APARTMENT;875000;FOR_SALE;3;3;211;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;;0;;0;AS_NEW
Koekelberg;HOUSE;HOUSE;875000;FOR_SALE;5;2;375;{'surface': 14, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;30;1;300;450;450;2;0;TO_RENOVATE
TUBIZE;HOUSE;VILLA;875000;FOR_SALE;6;5;360;;;0;1;;1;2600;2782;0;4;;
Sint-Michiels;HOUSE;VILLA;875000;FOR_SALE;6;2;;{'surface': 13, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;;;1;;702;0;4;0;
Genval (LAC);APARTMENT;GROUND_FLOOR;875000;FOR_SALE;3;3;256;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;;0;;;AS_NEW
Overijse;APARTMENT;GROUND_FLOOR;875000;FOR_SALE;3;3;256;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;;0;;;AS_NEW
Buissenal;HOUSE;EXCEPTIONAL_PROPERTY;875000;FOR_SALE;4;1;357;{'surface': 19, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;41;;;9760;117;4;;GOOD
Meise;HOUSE;HOUSE;875000;FOR_SALE;4;2;250;;;0;1;;;;1317;0;4;;
Puurs-Sint-Amands;HOUSE;HOUSE;875000;FOR_SALE;5;1;657;;;0;1;;1;;3543;0;;1;AS_NEW
Roeselare;HOUSE;MIXED_USE_BUILDING;875000;FOR_SALE;0;;767;;;0;;;;;490;0;;0;
Gent;HOUSE;HOUSE;875000;FOR_SALE;4;;;;;0;;;;;434;0;;0;
Meerhout;HOUSE;APARTMENT_BLOCK;875000;FOR_SALE;3;2;;{'surface': 7, 'type': 'USA_SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;1336;0;4;;GOOD
OEUDEGHIEN;HOUSE;EXCEPTIONAL_PROPERTY;875000;FOR_SALE;4;1;345;{'surface': None, 'type': 'SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;10000;0;4;;GOOD
OEUDEGHIEN;HOUSE;VILLA;875000;FOR_SALE;4;1;345;{'surface': None, 'type': 'SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;10000;0;4;;GOOD
OEUDEGHIEN;HOUSE;MANSION;875000;FOR_SALE;4;1;345;{'surface': None, 'type': 'SEMI_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;10000;0;4;;GOOD
Dinant;HOUSE;MIXED_USE_BUILDING;875000;FOR_SALE;8;4;680;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;10;;;340;0;2;0;TO_BE_DONE_UP
Molenbeek-Saint-Jean;HOUSE;APARTMENT_BLOCK;875000;FOR_SALE;0;;500;;0;0;;;;;180;0;2;0;GOOD
Oud-Turnhout;HOUSE;VILLA;875000;FOR_SALE;3;2;228;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;1;;2088;182;4;0;GOOD
's Gravenvoeren;HOUSE;VILLA;875000;FOR_SALE;5;;375;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;1;1640;1640;0;4;0;GOOD
Antwerp;APARTMENT;APARTMENT;875000;FOR_SALE;2;2;123;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;;;0;;0;
Ruiselede;HOUSE;MANSION;875000;FOR_SALE;7;;;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;;;;;4034;0;;;GOOD
Schilde;HOUSE;VILLA;875000;FOR_SALE;5;2;350;;0;0;1;;;;3000;157;4;0;
La Reid (Theux);HOUSE;EXCEPTIONAL_PROPERTY;875000;FOR_SALE;6;2;360;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;42018;0;4;;
Ixelles;HOUSE;APARTMENT_BLOCK;875000;FOR_SALE;5;1;300;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;14;1;50;140;0;2;;
Sint-Michiels;HOUSE;VILLA;875000;FOR_SALE;6;3;450;;0;1;1;;;;702;450;4;0;GOOD
Genk;HOUSE;EXCEPTIONAL_PROPERTY;875000;FOR_SALE;4;1;474;{'surface': 18, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;1;;1213;251;;0;JUST_RENOVATED
