Oostende,HOUSE,EXCEPTIONAL_PROPERTY,845000,FOR_SALE,3,2,,"{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",True,True,,,True,1,70,0,2,False,AS_NEW
Gent,HOUSE,MANSION,845000,FOR_SALE,4,4,,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,,,,,128,0,2,False,GOOD
Etterbeek,HOUSE,APARTMENT_BLOCK,845000,FOR_SALE,0,,,"{'surface': None, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,50,,,169,0,2,False,TO_RENOVATE
Kraainem,HOUSE,VILLA,845000,FOR_SALE,4,2,220,"{'surface': 20, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,True,,,True,540,760,0,3,False,GOOD
Knokke,APARTMENT,APARTMENT,845000,FOR_SALE,3,1,104,,,False,,,,,,104,,False,AS_NEW
Knokke-Heist,APARTMENT,APARTMENT,845000,FOR_SALE,3,2,103,"{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",True,False,True,,,,,0,2,,AS_NEW
Hasselt,HOUSE,HOUSE,845000,FOR_SALE,5,5,512,,True,False,True,,,,5035,0,4,,AS_NEW
Bilzen,HOUSE,MIXED_USE_BUILDING,845000,FOR_SALE,3,2,260,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,,,True,,2001,0,4,False,
Kapellen,HOUSE,VILLA,845000,FOR_SALE,3,2,190,"{'surface': 10, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",,False,True,,,,6320,0,4,,
Charneux,HOUSE,MANOR_HOUSE,845000,FOR_SALE,10,,,,True,False,,,,,1626,0,4,,
Damme,HOUSE,HOUSE,845000,FOR_SALE,4,,,,False,False,,,True,,35000,0,4,False,
Onze-Lieve-Vrouw-Waver,HOUSE,HOUSE,844000,FOR_SALE,4,1,344,"{'surface': 27, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,,True,445,825,0,4,,
Wilrijk,HOUSE,APARTMENT_BLOCK,842000,FOR_SALE,7,7,285,,False,False,,,True,,252,0,,,GOOD
Antwerp,HOUSE,APARTMENT_BLOCK,842000,FOR_SALE,7,7,285,,,False,True,,,,252,0,2,,TO_BE_DONE_UP
Bruxelles ville,APARTMENT,APARTMENT,840000,FOR_SALE,3,3,158,"{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,True,True,9,,,,0,2,,AS_NEW
Ixelles,APARTMENT,APARTMENT,840000,FOR_SALE,3,3,,"{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,True,True,9,,,,0,2,,AS_NEW
Borgerhout,HOUSE,MIXED_USE_BUILDING,840000,FOR_SALE,6,3,392,"{'surface': 11, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,,,,,117,0,2,,JUST_RENOVATED
Sterrebeek,HOUSE,VILLA,840000,FOR_SALE,6,3,280,"{'surface': 15, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",,False,True,40,,,618,460,4,False,AS_NEW
Braine-l'Alleud,HOUSE,VILLA,840000,FOR_SALE,4,2,200,"{'surface': 18, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,100,True,,2537,0,4,,AS_NEW
Braine-le-Chateau,HOUSE,VILLA,840000,FOR_SALE,4,2,200,"{'surface': 18, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,100,True,,2537,0,4,,AS_NEW
Koekelberg,HOUSE,APARTMENT_BLOCK,840000,FOR_SALE,6,3,400,"{'surface': None, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,14,True,100,0,0,2,,AS_NEW
La Calamine,HOUSE,APARTMENT_BLOCK,840000,FOR_SALE,6,4,355,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",,False,True,,,,946,0,4,,GOOD
Diest,HOUSE,HOUSE,840000,FOR_SALE,5,2,433,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",,True,True,,,,209,0,2,,
Ixelles,HOUSE,APARTMENT_BLOCK,840000,FOR_SALE,8,3,340,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",,False,True,15,,,100,0,2,,GOOD
Kluisbergen,HOUSE,MIXED_USE_BUILDING,839000,FOR_SALE,4,2,258,"{'surface': 58, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,,,,1483,258,2,False,AS_NEW
Kluisbergen,HOUSE,HOUSE,839000,FOR_SALE,3,,254,,,False,True,,,,1500,0,,,AS_NEW
Houthalen-Helchteren,HOUSE,HOUSE,837500,FOR_SALE,5,2,453,,False,False,,,,,3591,0,,False,
